Doctors' Circle,524,2379,12.960026905,77.7117357475,Health/Medical/Pharmaceuticals,Medical & Health,Organization
DoctorKePas,3,865,12.99515,77.69729,Health/Beauty,Family Doctor,Disabled Persons Service
DoctorsBooking,1,2465,12.995740494438,77.60702542588,Local Business,Healthcare Administrator,Health Agency
Doctor Films,0,1734,12.987665,77.622345,Media/News/Publishing,Broadcasting & Media Production
"Dental Experts , A Super Speciality Dental Clinic",8,226,12.9906902,77.5580673,Hospital/Clinic,Dentist,Doctor,Clinic
NSS Team Acharya,0,106,13.084912476709,77.484340667725,Non-Profit Organization,Social Services
Tots castle Montessori House of Children,2,168,12.88043,77.56357,Preschool,Preschool
Ittina Wellness,1,735,12.925217452123,77.632859945297,Doctor,Dentist,Doctor
Smilez Dental Care,1,153,13.0258299,77.61234,Doctor,Doctor,Dentist
Acharya's NRV School of Architecture,0,200,12.97357,77.36277,Education,Education
SHREE  AYURGANGA,4,2213,12.940633235645,77.573247452151,Health/Medical/Pharmaceuticals,Hospital/Clinic,Pharmacy/Drugstore,Doctor
Diabetacare,104,20016,12.93973,77.62551,Health/Medical/Pharmaceuticals,Doctor,Clinic,Medical Lab
Prana Healthcare Enablers,0,1350,12.93554,77.51818,Health/Medical/Pharmaceuticals,Physical Therapist,Family Doctor,Medical Lab
Dr. Jain's Eye Clinic,96,825,12.877481427525,77.609160792022,Health/Medical/Pharmaceuticals,Doctor
Care On Call - Bangalore,0,884,12.97613,77.61989,Doctor,Doctor
Eternal Ayurveda,1,2010,13.01325,77.64332,Doctor,Doctor
Ayurveda Home Consultation,0,189,12.97958,77.53767,Doctor,Doctor
The Family Physio,1,1497,12.843483357819,77.660611992645,Doctor,Doctor,Physical Therapist
Dr Ramesh Cardiology Clinic,0,556,12.92398,77.57098,Hospital/Clinic,Doctor
D-Care Dental CLINC,1,322,12.94065,77.59975,Doctor,Doctor,Dentist
Gopinath Ramakrishnan,1,819,12.99693,77.57246,Local Business,Doctor
Rubix cube by Niranjan the Annabond,0,817,12.8651104,77.6726303,Sports Event,Doctor
Carewell Homoeo Clinic,73,6150,12.915185190533,77.699520996017,Hospital/Clinic,Allergy Doctor,Pediatrics,Clinic
Aditya Ayurvedic Clinic & Panchakarma Kendra,4,697,12.99587,77.55147,Doctor,Doctor,Clinic
Ayurvedic therapies and  consultations.,0,2852,12.80789,77.51054,Doctor,Doctor,Alternative & Holistic Health
Dr.J.V Srinvas - ortho consultant/surgeon,3,389,12.8592196,77.5689392,Doctor,Doctor
Prashanthi,5,387,12.9587698,77.6378708,Health/Medical/Pharmaceuticals,Doctor
Swetha art of quilling,0,689,12.9824696,77.6772995,Local Business,Doctor
Dr Arveen Vohra,0,4170,12.98723,77.64705,Doctor,Doctor
Preeti Studio,17,364,12.952757055384,77.591034252071,Company,Doctor
Uma Homeo Clinic,0,269,13.05538,77.60302,Doctor,Doctor
Anugraha Dental Clinic and Orthodontic Centre,0,135,12.92132,77.6761,Doctor,Doctor
AnupamaMenon@RightLiving,0,692,12.9452,77.61827,Medical & Health,Doctor
Bangalore Hair Transplant,0,502,13.00851,77.5701799,Medical & Health,Doctor,Hair Replacement
VINAY KUMAR REDDY,0,364,13.06375,77.5911,Medical & Health,Doctor
Drraghugc Raghugc,1,1066,13.27614,77.67329,Doctor,Doctor
Vascular and Endovascular Neurosurgery,5,1505,13.01835,77.55786,Doctor,Doctor
Poornaprajna Ayurvedalaya,2,820,12.96889,77.60701,Doctor,Doctor
Elite32dental,0,219,13.10212,77.57684,Doctor,Doctor
"Dr Praveen Rathod, Gynaec Oncologist & laparoscopic surgeon",0,200,12.9833,77.5833,Doctor,Doctor
Roopa Clinic,1,129,12.91232,77.54518,Doctor,Doctor
Dr. Divakar Goli,0,440,13.10079,77.4911,Doctor,Doctor
Infilife Dental Speciality and Implant Center,0,541,12.9833,77.5833,Doctor,Doctor,Dentist
Sapthagiri Centre for Speciality Surgery,0,236,12.9833,77.5833,Doctor,Doctor,Clinic
Anupama Enterprise,0,268,13.01917,77.55215,Medical & Health,Doctor
Ayurveda For All,0,554,12.9833,77.5833,Doctor,Doctor
Homoeopathic Physician & Dietician,2,575,13.054147401703,77.61357677536,Doctor,Doctor
Dr.Prinju's New Hope Homoeopathy,1,158,13.00433,77.72757,Doctor,Doctor
Cosmo Clinic & Diagnostic Centre,1,115,12.95519,77.71883,Doctor,Doctor
Doctortoise,0,150,12.957909113513,77.720761299133,Health/Medical/Pharmaceuticals,Health Agency,Alternative & Holistic Health
Get Well Homoeo Clinic,0,248,12.99061,77.66087,Doctor,Doctor
Sridhar Sindhe,1,32,17.3950806,78.4586792,Professional Service,Doctor
Engineering Colleges in Bangalore,0,151,12.9419799,77.61954,Doctor,Doctor,Admissions Training
Dr Dixit,1,746,12.9833,77.5833,Health/Beauty,Doctor
Synergy physiotherapy clinic ramamurthy nagar bangalore,0,19,13.01161,77.6714401,Doctor,Doctor,Physical Therapist
NationWide Home Health Services,8,3976,12.91912,77.6117,Medical & Health,Family Doctor,Nursing
"Dr Srihari S. Bangalore, MD",0,1,40.44011,-79.959414,Local Business,Doctor
Pradeep Bangalore Prakash MD,0,1,41.6589683,-91.5497751,Local Business,Doctor
Alphonsa NAET Clinic,0,240,12.93897,77.63152,Hospital/Clinic,Allergy Doctor,Alternative & Holistic Health
EHADoctors,1,227,12.88902,77.5974899,Health/Beauty,Hospital/Clinic,Health Agency
Modi Dental Care & Implant Centre,6,505,12.9079599,77.60458,Doctor,Doctor,Dentist
"ENT, Head and Neck Surgeon and Neurotologist",7,1638,30.33903136,-97.75613962,Medical & Health,Doctor
B.S. Krishnamurthy & Associates,0,720,12.9197,77.59051,Consulting/Business Service,Doctor
dr.josy joy homeo doctor bangalore,0,11,12.9833,77.5833,Hospital/Clinic,Clinic,OBGYN
PhysioCure Physiotherapy Centre,1,235,12.909306623145,77.651925086975,Doctor,Physical Therapist,Doctor
Dr.joy's thyroid diabetes cholestrol piles homeo clinic bangalore trichur,2,100,12.97222,77.62579,Hospital/Clinic,Allergy Doctor,Clinic,Dermatologist
Connect2Doctor,0,957,13.00665,77.57119,Medical & Health,Healthcare Administrator
Electrical Doctor,0,7,13.13338,77.56881,Professional Service,Electrician
Dr. Jisha's Homoeopathic Speciality Clinic,0,141,12.904673835134,77.683328390121,Health/Medical/Pharmaceuticals,Family Doctor
DDS - Doorstep Doctor Services at Bangalore.,0,6,12.9833,77.5833,Health/Beauty,Medical & Health
